Comment,Name,Associated with,Geometry,Nature of association,Description,Country,MAEASaM ID,Address,Name type,Resource created at,Start date,End date,Resource last modified at,Actor type,resourceid
,Thabo Kgosietsile,"University of Pretoria, University",None,MAEASaM project member,,None,ACT-00000057,"Lynnwood Rd, Hatfield, Pretoria, 0002",Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,a2794520-5851-498b-8d3d-f297b000110d
,Dana Salamin,"University of Cambridge, University",None,MAEASaM project member,,None,ACT-00000042,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,a627e50c-1069-4d0b-9cb7-d812a7bd8485
,Manoj Lokare,"University of Cambridge, University",None,Previous MAEASaM project member,,None,ACT-00000030,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,a75546aa-540e-4363-b49e-0e673dd41879
,Ezekia Mtetwa,"Uppsala University, University",None,Previous MAEASaM project member,,None,ACT-00000052,753 10 Uppsala Sweden,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,a83895e3-b652-401a-adea-f58635ce3127
,Jane Humphris,"British Institute in Eastern Africa, Institution",None,MAEASaM project member,Project Co-Principal Investigator for Kenya,None,ACT-00000049,Migori Road and Laikipia Rd Nairobi Kenya,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,b07bfa5f-0ef3-4e19-9aa5-bb17a63d1406
,Stephanie Wynne-Jones,"University of York, University",None,MAEASaM project member,Project Co-Principal Investigator for Tanzania,None,ACT-00000051,Heslington York YO10 5DD United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,b89c41b5-57a4-40f3-8a37-ba7210d7e6bc
,Akinbowale Akintayo,"University of York, University",None,Previous MAEASaM project member,,None,ACT-00000050,Heslington York YO10 5DD United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,bb2315d7-7e9d-4e00-8daa-d4a26de8f970
,Louis Monnetro,"University College London, University",,Previous MAEASaM project member,,,ACT-00000067,,Primary name,,None,None,,MAEASaM project member,bc089e05-4f26-4cf2-b278-9a9b9a8a701c
,Mamadou Lamine Dieng,"Laboratoire d Archeologie, National heritage body",None,MAEASaM project member,,None,ACT-00000036,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,c77e4454-0fa5-4403-b246-6061c9a61ee0
,Eloise Noc,"University College London, University",None,Previous MAEASaM project member,,None,ACT-00000039,Gower St London WC1E 6BT United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,c79d4337-27cf-4d37-b87b-dffb610d6fc0
,Ella Beaudoin,"University of Cambridge, University",None,Previous MAEASaM project member,,None,ACT-00000032,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,d27997f8-dccf-4c89-8ab8-8e4f0306751e
,Daniel Lowenborg,"Uppsala University, University",None,Previous MAEASaM project member,Former project Co- Principal Investigator for Zimbabwe,None,ACT-00000054,753 10 Uppsala Sweden,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,d4d1594a-6a1f-4a40-89cf-df284fd0df25
,Assane Ndiaye,"Laboratoire d Archeologie, National heritage body",None,MAEASaM project member,,None,ACT-00000037,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,ddf737b0-7570-43bd-80db-bc8258e05b51
,Chris Matthews,"University of Cambridge, University",None,MAEASaM project member,,None,ACT-00000031,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,e8310964-ee69-4efe-bc64-0573acfaca09
,Adama Harouna Athie,"Laboratoire d Archeologie, National heritage body",None,Previous MAEASaM project member,,None,ACT-00000033,33 Rte de la Corniche O Dakar,Primary name,2024-07-19,None,None,2024-07-19,MAEASaM project member,f470c9a0-5ad5-4b2c-96d6-8c4675f9fac6
,University of Botswana,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000026,4775 Notwane Rd Gaborone Botswana,Primary name,2024-07-19,None,None,2024-07-19,University,023b0310-8b62-4655-b289-8df0b145f53e
,University College London,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000006,Gower St London WC1E 6BT United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,University,069c7613-20f5-44c9-9699-8f00b9f2e2c2
,National Museums and Monuments of Zimbabwe ,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000022,Penrose Hill Building Causeway 107 Rotten Row Harare Zimbabwe,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,06f39b17-5e1f-4028-ba1f-e7e656c34716
,University of the Witwatersrand,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Project institution,,,ACT-00000060,,Primary name,,None,None,,University,183e818d-3d7e-4198-a097-9cf5c0447f25
,University of Exeter,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000008,Stocker Rd Exeter EX4 4PY United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,University,196dfb23-3e27-4ae7-8d78-a4347d7d462c
,Addis Ababa University,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000014,Dejamach Beyene Merid St Addis Ababa Ethiopia,Primary name,2024-07-19,None,None,2024-07-19,University,23adbed9-facf-4621-b617-4737c76e4458
,National Museum of Mali,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000012,M252 C6C Bamako Mali,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,2befee1c-c6c3-47f9-8c6f-c1095a74f1c9
,Cultural Heritage Service,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Affiliated institution,,,ACT-00000016,,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,34213966-4f3a-4016-aa12-edc31d5da5e2
,Antiquities Division  Ministry for Natural Resources and Tourism,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000018,57MR WJ Dar es Salaam Tanzania,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,34b9e3b9-5cad-4a6d-b71c-7cc360bbe584
,Botswana National Museums and Art Gallery,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000025,161 Queens Rd Gaborone Botswana,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,3e0098e2-5860-43f8-99f7-65eb6a45996d
,British Institute in Eastern Africa,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000015,Migori Road and Laikipia Rd Nairobi Kenya,Primary name,2024-07-19,None,None,2024-07-19,Institution,585f1eb9-2171-404e-b8ea-19e6450a4328
,University of Cambridge,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000005,The Old Schools Trinity Ln Cambridge CB2 1TN United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,University,765c16e7-065e-43e5-b18e-ccc7e2916bef
,Universite Cheikh Anta Diop,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000010,33 Rte de la Corniche Ouest Dakar,Primary name,2024-07-19,None,None,2024-07-19,University,7ada2ab7-3661-41f6-8974-ceb244e8fa07
,Department of Antiquities Zanzibar,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Affiliated institution,,,ACT-00000019,,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,85746659-3867-4e6a-a6a9-d6905f339d59
,Uppsala University,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000009,753 10 Uppsala Sweden,Primary name,2024-07-19,None,None,2024-07-19,University,895d6a89-8acb-4f88-846b-2a613d7ed20a
,University of Pretoria,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000003,"Lynnwood Rd, Hatfield, Pretoria, 0002",Primary name,2024-07-19,None,None,2024-07-19,University,92667905-7db6-4d30-8740-ac606dade1f2
,Laboratoire d Archeologie,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Project institution,,,ACT-00000011,,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,9833cc0e-a41c-4ac3-bd1b-1a539f342640
,National Corporation for Antiquities and Museums NCAM,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000013,Ministry of Tourism 60th Street intersection with Mansheya Bridge,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,997d67c4-f6d7-46ac-828c-64efe943a8bd
,University of Great Zimbabwe,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000023,Masvingo Zimbabwe,Primary name,2024-07-19,None,None,2024-07-19,University,a3b3486f-d9f9-41f6-affe-eeaa805c379f
,National Museums of Kenya ,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000017,Kipande Rd Nairobi Kenya,Primary name,2024-07-19,None,None,2024-07-19,National heritage body,d261ccbc-a178-4853-b6ee-6663b93b1b64
,National Museums of Tanzania,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000021,5 Shaaban Robert St Dar es Salaam Tanzania,Primary name,2024-07-19,None,None,2024-07-19,University,dfac2f19-9f09-4e38-b3e6-95fd4557e267
,University of Zimbabwe,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Affiliated institution,,None,ACT-00000024,630 Churchill Ave Harare Zimbabwe,Primary name,2024-07-19,None,None,2024-07-19,University,e9980f53-0ce3-46ca-b678-c2ef72eb32ab
,University of York,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",None,Project institution,,None,ACT-00000007,Heslington York YO10 5DD United Kingdom,Primary name,2024-07-19,None,None,2024-07-19,University,f19f32c1-5b26-4fef-95b5-bf0b3626daa3
,Universite Libre De Bruxelles,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Affiliated institution,,,ACT-00000063,,Primary name,,None,None,,University,feb264a8-9c4a-4586-b4a3-ec422fcbf81e
,University of Dar es Salaam,"Mapping Africa's Endangered Archaeological Sites and Monuments, Project",,Affiliated institution,,,ACT-00000061,,Primary name,,None,None,,University,ff2490df-ea51-4415-b934-a314cb789e75
,Origins Centre,"University of the Witwatersrand, University",None,Project institution,,None,ACT-00000004,Yale Road and 1 Enoch Sontonga Ave Braamfontein Johannesburg 2000,Primary name,2024-07-19,None,None,2024-07-19,Museum,269561ad-078b-4f2d-a291-d78eb63146ea
,Royal Museum for Central Africa,"Universite Libre De Bruxelles, University",,Affiliated institution,,,ACT-00000064,,Primary name,,None,None,,Museum,845a00ff-be41-4fbd-94f5-87ad96065683
,Department of Archaeology and Heritage  ,"University of Dar es Salaam, University",None,Affiliated institution,,None,ACT-00000020,66C2 R55 Dar es Salaam Tanzania,Primary name,2024-07-19,None,None,2024-07-19,University,cd32be44-961b-4654-a90c-501f85ae1f11
,Insititut Fondamental d Afrique Noire ,"Universite Cheikh Anta Diop, University",,Affiliated institution,,,ACT-00000062,,Primary name,,None,None,,National heritage body,d1dc779f-cee9-4a23-99a2-308e4bd5318b
,United Nations Educational Scientific and Cultural Organization,,,,,,ACT-00000065,,Primary name,,,,,Organisation,28c8cbe4-90a9-4bdf-8b2d-7e38fbf8cc2e
