Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
Zone,Primary name,Dawro,Level 2,,,,ADMIN-ETH-000000061,,6e1d0b56-878c-4983-b4b4-c2d4666279d6
Zone,Primary name,Basketo,Level 2,,,,ADMIN-ETH-000000060,,37eec95b-ea71-4e77-b10d-333ec1a95c38
Zone,Primary name,Alaba,Level 2,,,,ADMIN-ETH-000000059,,64b4fc89-1595-4070-9828-2b2e9e218134
Zone,Primary name,West Shewa,Level 2,,,,ADMIN-ETH-000000058,,3067a4a1-c347-4188-82ea-fa02b4daa690
Zone,Primary name,West Harerge,Level 2,,,,ADMIN-ETH-000000057,,9f8e991d-cd05-4268-80b1-1df8ebcf9846
Zone,Primary name,South West Shewa,Level 2,,,,ADMIN-ETH-000000056,,5c6dbeff-bbdb-4f06-b5d7-edd396a2cf88
,Primary name,Chereponi,Level 2,,,,ADMIN-GHA-000000014,,7785641d-063e-4a6d-b87b-2eeed8fbf225
,Primary name,Ledzokuku / Krowor,Level 2,,,,ADMIN-GHA-000000013,,3aa5c83d-3070-42df-b3e2-fe9317752d72
,Primary name,Adenta,Level 2,,,,ADMIN-GHA-000000012,,8f9ae25c-fed5-417e-a7cb-354958c4063c
,Primary name,Western,Level 1,,,,ADMIN-GHA-000000011,,53021f11-11ca-499b-8de8-d639afb2665b
,Primary name,Volta,Level 1,,,,ADMIN-GHA-000000010,,c8673750-4a3b-45d7-ae30-40a7ac5091b0
,Primary name,Upper West,Level 1,,,,ADMIN-GHA-000000009,,617c353c-4bef-4e22-89dc-e238247a1709
,Primary name,Upper East,Level 1,,,,ADMIN-GHA-000000008,,3ebecfa2-8e0a-43f9-a36a-a7d219601853
,Primary name,Northern,Level 1,,,,ADMIN-GHA-000000007,,927d886c-f926-46e6-827e-83a3ff9943ea
,Primary name,Greater Accra,Level 1,,,,ADMIN-GHA-000000006,,351c2a2d-2f83-428e-ab98-16c00c81842a
,Primary name,Eastern,Level 1,,,,ADMIN-GHA-000000005,,793dde7a-e02a-4b28-8cb0-7dac462746a9
,Primary name,Central,Level 1,,,,ADMIN-GHA-000000004,,4fae1eea-62fc-4dc9-9bca-4646417c4dfe
,Primary name,Brong Ahafo,Level 1,,,,ADMIN-GHA-000000003,,d6c38f25-fe44-43de-a2bc-23a89e62fda0
,Primary name,Ashanti,Level 1,,,,ADMIN-GHA-000000002,,82282462-ea95-442b-af52-e6fd48a77f8a
,Primary name,Ghana,Level 0,,,,ADMIN-GHA-000000001,,bd370afc-a9c1-48dd-8bc7-880531ddb27f
Zone,Primary name,Western,Level 2,,,,ADMIN-ETH-000000087,,b058c4ec-bcaf-4d14-80ea-32d8c1b22b4c
